"","gatunek","waga","dlugosc","predkosc","habitat","zywotnosc","druzyna"
"1","Tygrys",300,2.5,60,"Azja",25,"Kot"
"2","Lew",200,2,80,"Afryka",29,"Kot"
"3","Jaguar",100,1.7,90,"Ameryka",15,"Kot"
"4","Puma",80,1.7,70,"Ameryka",13,"Kot"
"5","Leopard",70,1.4,85,"Azja",21,"Kot"
"6","Gepard",60,1.4,115,"Afryka",12,"Kot"
"7","Irbis",50,1.3,65,"Azja",18,"Kot"
"8","Jerzyk",0.05,0.2,170,"Euroazja",20,"Ptak"
"9","Strus",150,2.5,70,"Afryka",45,"Ptak"
"10","Orzel przedni",5,0.9,160,"Polnoc",20,"Ptak"
"11","Sokol wedrowny",0.7,0.5,110,"Polnoc",15,"Ptak"
"12","Sokol norweski",2,0.7,100,"Polnoc",20,"Ptak"
"13","Albatros",4,0.8,120,"Poludnie",50,"Ptak"
